date,tickets,WindSpeed,Precipitation,Snow,Temperature,holidays,weekdays,pickup
2015-01-01,5375.0,7.16,0.0,0.0,33.0,0,1,48715.0
2015-01-02,47233.0,7.16,0.0,0.0,38.5,1,0,33877.0
2015-01-03,23933.0,6.49,0.71,0.0,37.5,0,1,50228.0
2015-01-04,6651.0,6.49,0.3,0.0,48.5,0,0,34961.0
2015-01-05,46178.0,10.51,0.0,0.0,35.0,0,0,36290.0
2015-01-06,36947.0,4.03,0.05,1.0,20.5,0,1,44883.0
2015-01-07,40054.0,12.75,0.0,0.0,16.0,0,1,52869.0
2015-01-08,57250.0,8.72,0.0,0.0,14.5,0,1,60323.0
2015-01-09,47551.0,8.72,0.07,1.5,26.0,0,1,59852.0
2015-01-10,44336.0,8.05,0.0,0.0,19.5,0,1,67108.0
2015-01-11,18699.0,6.04,0.0,0.0,27.5,0,0,49032.0
2015-01-12,55079.0,3.8,0.36,0.0,37.0,0,0,49065.0
2015-01-13,71370.0,8.5,0.0,0.0,26.5,0,1,53912.0
2015-01-14,62801.0,6.26,0.0,0.0,24.0,0,1,53600.0
2015-01-15,73413.0,4.7,0.0,0.0,30.0,0,1,56682.0
2015-01-16,69930.0,9.84,0.0,0.0,31.5,0,1,61690.0
2015-01-17,47366.0,6.04,0.0,0.0,24.5,0,1,62867.0
2015-01-18,10555.0,3.8,2.1,0.0,36.5,0,0,61966.0
2015-01-19,44945.0,7.61,0.0,0.0,39.0,1,0,39561.0
2015-01-20,69738.0,5.82,0.0,0.0,36.0,1,0,46860.0
2015-01-21,61559.0,4.25,0.0,0.0,30.5,0,1,50296.0
2015-01-22,67586.0,5.59,0.0,0.0,35.5,0,1,55586.0
2015-01-23,63419.0,5.59,0.0,0.0,33.5,0,1,61486.0
2015-01-24,27826.0,6.04,0.72,3.6,36.0,0,1,69657.0
2015-01-25,13973.0,6.26,0.0,0.0,36.5,0,0,49861.0
2015-01-26,26639.0,12.75,0.48,5.5,26.5,0,0,36920.0
2015-01-27,1947.0,8.28,0.36,4.3,25.0,0,1,21974.0
2015-01-28,26128.0,7.61,0.0,0.0,25.0,0,1,51538.0
2015-01-29,30118.0,3.8,0.02,0.0,27.5,0,1,58605.0
2015-01-30,29039.0,10.51,0.06,1.0,28.5,0,1,71479.0
2015-01-31,21989.0,12.3,0.0,0.0,19.5,0,1,79315.0
2015-02-01,9204.0,3.8,0.03,0.3,28.0,0,0,66230.0
2015-02-02,6643.0,9.84,1.02,5.0,24.0,0,0,58504.0
2015-02-03,24037.0,7.16,0.0,0.0,19.5,0,1,59663.0
2015-02-04,30557.0,4.25,0.0,0.0,33.5,0,1,56342.0
2015-02-05,30924.0,8.5,0.0,0.0,28.0,0,1,68243.0
2015-02-06,30253.0,7.16,0.0,0.0,19.5,0,1,72825.0
